,SoS091a_CP04272_S249_L001,SoS055a_CP04272_S217_L001,UG006_CP04272_S262_L001,SoS042a_CP04272_S215_L001,SoS036a_CP04272_S211_L001,9B1L_CP04272_S278_L001,SoS024a_CP04272_S197_L001,SoS070a_CP04272_S227_L001,SoS078b_CP04272_S236_L001,SoS017a_CP04272_S191_L001,SoS098b_CP04272_S252_L001,P060_CP04272_S338_L001,P006_CP04272_S287_L001,SoS002a_CP04272_S177_L001,P012_CP04272_S291_L001,P031_CP04272_S310_L001,SoS081a_CP04272_S241_L001,P043_CP04272_S322_L001,SoS008a_CP04272_S185_L001,P026_CP04272_S305_L001,UG004_CP04272_S260_L001,SoS025a_CP04272_S199_L001,SoS098a_CP04272_S251_L001,SoS079b_CP04272_S238_L001,SoS017b_CP04272_S192_L001,SoS008b_CP04272_S186_L001,SoS081b_CP04272_S242_L001,SoS014a_CP04272_S189_L001,P009_CP04272_S288_L001,SoS042b_CP04272_S216_L001,SoS065b_CP04272_S224_L001,UG005_CP04272_S261_L001,SoS035a_CP04272_S209_L001,P004_CP04272_S285_L001,P018_CP04272_S297_L001,UG001_CP04272_S257_L001,SoS006b_CP04272_S184_L001,2B1L_CP04272_S276_L001,SoS078a_CP04272_S235_L001,SoS006a_CP04272_S183_L001,P041_CP04272_S320_L001,SoS065a_CP04272_S223_L001,P024_CP04272_S303_L001,P033_CP04272_S312_L001,SoS036b_CP04272_S212_L001,P055_CP04272_S333_L001,P010_CP04272_S289_L001,P001_CP04272_S282_L001,P019_CP04272_S298_L001,SoS018a_CP04272_S193_L001,SoS091b_CP04272_S250_L001,SoS018b_CP04272_S194_L001,P015_CP04272_S294_L001,P036_CP04272_S315_L001,SoS005b_CP04272_S182_L001,P056_CP04272_S334_L001,P051_CP04272_S330_L001,SoS082b_CP04272_S244_L001,SoS039b_CP04272_S214_L001,P023_CP04272_S302_L001,P034_CP04272_S313_L001,SoS077a_CP04272_S233_L001,SoS011b_CP04272_S188_L001,SoS033a_CP04272_S207_L001,P003_CP04272_S284_L001,SoS077b_CP04272_S234_L001,P057_CP04272_S335_L001,SoS082a_CP04272_S243_L001,SoS075a_CP04272_S231_L001,SoS039a_CP04272_S213_L001,UG009_CP04272_S263_L001,SoS031b_CP04272_S206_L001,SoS014b_CP04272_S190_L001,SoS075b_CP04272_S232_L001,P046_CP04272_S325_L001,P017_CP04272_S296_L001,P021_CP04272_S300_L001,SoS004a_CP04272_S179_L001,16B1NL_CP04272_S343_L001,P044_CP04272_S323_L001,P053_CP04272_S332_L001,SoS005a_CP04272_S181_L001,SoS087b_CP04272_S248_L001,9B1NL_CP04272_S279_L001,SoS035b_CP04272_S210_L001,SoS025b_CP04272_S200_L001,P029_CP04272_S308_L001,P059_CP04272_S337_L001,P025_CP04272_S304_L001,SoS027b_CP04272_S202_L001,SoS085b_CP04272_S246_L001,SoS069a_CP04272_S225_L001,P040_CP04272_S319_L001,UG010_CP04272_S264_L001,P042_CP04272_S321_L001,P013_CP04272_S292_L001,SoS004b_CP04272_S180_L001,P058_CP04272_S336_L001,SoS011a_CP04272_S187_L001,SoS063b_CP04272_S222_L001,P038_CP04272_S317_L001,P050_CP04272_S329_L001,SoS063a_CP04272_S221_L001,P027_CP04272_S306_L001,P011_CP04272_S290_L001,P032_CP04272_S311_L001,SoS087a_CP04272_S247_L001,SoS073a_CP04272_S229_L001,P020_CP04272_S299_L001,SoS069b_CP04272_S226_L001,17B1NL_CP04272_S273_L001,SoS085a_CP04272_S245_L001,P005_CP04272_S286_L001,P048_CP04272_S327_L001,P045_CP04272_S324_L001,SoS080a_CP04272_S239_L001,SoS024b_CP04272_S198_L001,P037_CP04272_S316_L001,SoS070b_CP04272_S228_L001,P049_CP04272_S328_L001,SoS055b_CP04272_S218_L001,SoS060a_CP04272_S219_L001,SoS002b_CP04272_S178_L001,SoS023a_CP04272_S195_L001,SoS100a_CP04272_S255_L001,P022_CP04272_S301_L001,SoS060b_CP04272_S220_L001,P016_CP04272_S295_L001,P035_CP04272_S314_L001,SoS023b_CP04272_S196_L001,P047_CP04272_S326_L001,17B1L_CP04272_S344_L001,P002_CP04272_S283_L001,UG003_CP04272_S259_L001,SoS100b_CP04272_S256_L001,P039_CP04272_S318_L001,SoS079a_CP04272_S237_L001,P030_CP04272_S309_L001,2B1NL_CP04272_S277_L001,P028_CP04272_S307_L001,SoS099a_CP04272_S253_L001,SoS099b_CP04272_S254_L001,P052_CP04272_S331_L001,SoS080b_CP04272_S240_L001,UG002_CP04272_S258_L001,SoS073b_CP04272_S230_L001,P014_CP04272_S293_L001
Bah amidohydrolase,2,1,0,0,0,3,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,6,0,5,0,0,0,0,5,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,2,0,2,0
glycopeptide resistance gene cluster;vanT,19,59,96,37,41,32,5,316,22,284,52,21,202,99,15,0,148,4,18,24,72,44,60,42,70,109,338,103,1,36,26,35,98,0,102,181,38,10,14,28,7,134,116,28,103,0,152,58,0,75,74,115,5,318,66,102,0,46,124,60,15,6,26,28,12,6,0,86,171,77,20,108,21,142,85,82,3,97,245,827,3,87,59,89,137,254,18,0,7,187,179,24,9,32,112,1,9,6,15,40,4,52,26,49,1,62,135,29,63,31,89,20,29,29,0,53,12,26,63,4,79,417,11,50,35,72,79,17,10,49,4,46,12,113,20,1,32,2,47,70,115,200,70,126,76,29,5
methicillin resistant PBP2,23,18,14,5,3,17,0,21,0,60,31,13,65,64,16,2,4,3,0,0,8,19,12,5,34,26,34,10,0,5,0,6,51,1,25,14,7,5,2,12,8,9,85,12,19,1,16,15,4,37,38,76,3,227,42,53,2,2,1,11,12,0,2,0,29,0,0,9,71,1,13,17,8,57,1,7,1,20,194,206,3,48,3,132,47,4,4,0,0,14,73,2,16,17,188,22,5,5,2,7,1,17,12,18,0,14,14,1,13,0,321,9,10,0,0,0,2,8,2,3,6,50,4,35,9,46,12,0,0,20,3,58,28,8,5,0,20,2,53,30,9,1,850,37,19,2,12
tetracycline inactivation enzyme,15,29,76,11,30,51,3,109,5,154,97,27,59,25,41,2,86,12,19,48,29,68,117,30,336,94,368,24,6,10,37,26,86,0,203,13,40,6,0,15,23,93,630,8,159,2,208,9,1,110,56,86,1,31,35,91,0,20,71,16,25,0,55,21,3,2,0,35,83,51,16,32,37,36,24,247,48,16,92,581,1,18,316,83,75,113,76,3,8,11,53,8,28,5,191,5,8,24,29,62,1,227,12,20,5,12,114,2,23,9,17,23,4,3,0,94,116,24,60,2,15,1082,33,23,38,122,195,8,4,24,2,2,3,33,20,1,18,5,45,33,9,35,147,118,11,30,16
RbpA bacterial RNA polymerase-binding protein,22,367,91,163,51,52,95,473,575,131,15,72,106,343,149,8,122,23,113,381,199,141,160,396,121,536,716,33,8,481,179,161,29,1,187,382,289,141,744,204,5,612,472,6,114,0,481,519,0,414,75,349,6,8651,110,317,0,112,365,4,5,221,523,57,153,313,6,392,255,493,157,306,93,158,400,518,32,249,72,1900,0,176,321,118,144,911,89,1,6,872,162,293,147,160,12,6,165,502,426,190,11,374,454,62,8,63,230,177,418,334,28,33,3,478,0,22,202,21,157,4,198,71,204,355,28,234,103,15,0,256,40,9,17,253,79,0,135,3,237,275,410,444,150,494,538,118,32
lincosamide nucleotidyltransferase (LNU),12,239,70,255,58,51,57,308,914,258,90,49,96,420,118,7,129,18,65,574,154,90,195,471,211,376,521,88,9,803,212,122,46,0,209,252,528,172,1064,320,6,679,634,9,132,0,424,387,0,512,91,417,2,8309,232,333,0,32,212,38,10,419,736,73,259,606,0,464,214,624,116,252,50,114,194,316,37,266,180,1326,7,243,488,214,388,839,71,4,7,711,214,583,222,128,118,2,227,418,706,230,0,509,586,40,6,127,174,255,222,525,91,37,9,592,0,85,184,19,176,3,109,364,265,236,65,173,108,13,113,123,35,56,12,132,75,0,208,0,252,155,261,202,164,279,516,186,10
NmcA beta-lactamase,6,3,8,5,3,40,0,7,0,36,15,4,62,0,1,2,0,2,1,0,1,4,2,0,38,32,0,2,0,1,0,16,8,0,21,1,1,2,0,0,2,6,30,6,7,0,11,0,0,13,8,31,2,67,8,2,2,2,0,0,8,0,0,1,2,0,0,4,57,0,7,7,3,41,4,0,0,6,107,14,6,1,0,25,22,0,0,0,0,6,29,0,10,37,3,2,3,0,0,1,0,4,5,2,0,2,4,1,25,0,7,14,5,0,1,0,1,3,2,1,1,2,1,0,2,0,0,0,4,2,0,5,4,0,2,0,6,6,15,7,0,5,36,29,10,2,1
sal-type ABC-F protein,31,926,202,433,71,166,301,1281,1400,681,130,164,257,704,461,9,415,71,267,910,562,326,470,895,412,1047,1686,201,8,1252,358,314,65,4,650,708,677,262,1664,490,29,1658,1049,25,403,2,996,1289,9,964,202,717,11,20790,290,968,8,166,548,47,13,603,1218,178,482,860,0,840,587,1166,470,720,271,402,871,1202,73,518,328,4752,8,342,747,567,617,1919,199,14,6,1631,563,800,454,543,96,4,344,1234,1093,418,17,954,1021,61,12,225,454,461,893,767,80,89,6,1096,0,95,410,43,567,14,568,457,476,942,166,624,275,54,12,490,57,133,54,517,256,8,264,7,503,534,792,858,329,1056,967,360,60
GOB beta-lactamase,4,213,42,149,37,48,70,214,647,64,16,36,31,245,133,0,107,30,51,321,136,40,177,320,138,287,483,51,4,395,141,93,16,0,177,117,358,101,716,211,1,462,363,0,76,0,302,515,0,333,23,236,0,5441,84,374,4,18,149,10,0,213,454,43,161,340,0,263,110,408,190,228,77,73,227,371,47,146,18,1107,6,96,277,223,181,519,89,4,3,413,67,285,111,146,12,1,134,346,359,175,1,311,361,4,0,51,118,183,266,287,13,23,4,343,0,19,159,0,119,2,109,140,206,311,59,163,135,6,4,138,22,28,10,152,118,0,122,4,142,129,228,127,112,241,309,119,21
antibiotic-resistant murA transferase,23,24,20,14,47,11,0,11,4,158,38,27,23,19,2,2,59,4,4,6,9,14,16,8,115,25,193,78,12,8,2,3,87,0,38,10,9,5,0,12,1,15,88,7,43,0,17,6,0,50,61,191,5,95,151,49,0,8,4,13,5,4,0,4,3,1,0,38,235,19,24,13,2,189,18,35,2,49,421,131,8,179,21,44,187,5,9,1,2,5,102,6,20,10,44,2,9,3,0,9,0,19,7,17,0,62,15,3,31,5,50,27,0,6,0,35,6,37,2,0,25,329,3,34,5,26,36,3,2,32,2,14,5,24,7,0,61,0,36,25,5,11,54,40,7,1,0
General Bacterial Porin with reduced permeability to peptide antibiotics,6,11,1,2,5,12,0,8,0,11,6,4,52,1,0,0,0,0,2,0,1,1,4,1,37,6,0,0,0,0,1,6,36,0,0,0,2,0,0,0,1,9,16,0,11,0,6,6,0,11,12,20,3,24,4,0,0,0,0,0,0,0,1,0,6,0,0,2,4,0,5,1,1,13,0,2,0,3,40,2,0,41,0,31,16,0,2,0,0,0,61,0,2,0,8,0,6,8,0,7,3,0,1,33,0,0,20,0,4,0,0,4,3,0,0,0,0,3,1,2,8,0,3,1,4,22,0,0,0,1,2,25,0,29,0,0,2,0,9,4,0,0,33,19,0,0,0
Outer Membrane Porin (Opr);resistance-nodulation-cell division (RND) antibiotic efflux pump,20,46,46,21,47,100,4,184,63,249,62,26,184,48,39,1,68,1,49,47,69,53,79,61,186,178,264,34,7,67,45,75,156,0,100,114,61,13,40,28,5,201,350,18,124,2,189,117,5,105,39,201,5,1461,153,89,1,32,67,14,29,21,76,34,28,28,4,86,228,83,29,88,45,205,82,112,16,66,375,651,0,140,173,120,195,261,26,5,3,188,131,38,105,41,52,3,16,109,38,51,4,117,56,47,0,86,94,27,130,61,48,34,11,84,0,48,63,42,60,1,57,158,35,32,10,111,44,12,5,64,3,48,21,88,31,2,69,7,118,91,112,151,134,255,62,40,10
glycopeptide resistance gene cluster;vanXY,1,6,0,1,0,0,0,3,1,7,4,2,6,3,0,1,3,0,0,0,4,23,1,1,4,7,0,0,1,0,0,2,5,0,2,0,0,0,0,1,0,2,33,4,8,0,0,4,1,22,7,34,0,34,10,0,0,1,0,4,2,1,0,0,0,0,0,1,26,0,0,0,0,28,0,0,2,6,45,0,0,8,4,0,14,0,0,1,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,2,10,0,12,1,0,0,0,0,1,7,2,0,4,10,1,4,0,7,0,0,0,0,0,1,0,7,1,0,1,0,9,11,0,0,18,6,3,4,0
chloramphenicol phosphotransferase,13,20,27,8,16,8,1,17,3,245,25,4,48,23,12,3,63,3,5,9,5,7,18,23,193,43,260,43,0,6,1,0,69,2,61,23,25,3,9,22,14,10,168,2,101,0,64,12,0,47,46,76,6,124,121,64,0,18,8,40,13,7,0,8,1,2,0,30,95,7,13,25,6,91,12,123,4,65,169,454,1,93,59,15,103,5,3,0,7,67,51,6,23,20,87,0,10,8,6,5,3,110,14,44,3,13,21,2,39,7,55,20,0,0,0,84,19,14,7,2,1,569,1,20,16,69,71,12,2,54,3,1,6,35,18,2,34,3,54,112,13,13,52,63,6,1,0
multidrug and toxic compound extrusion (MATE) transporter,36,5,1,16,6,5,5,31,8,41,21,4,254,6,13,6,23,2,9,0,25,13,12,0,71,27,30,12,8,12,5,10,226,0,11,11,10,6,0,2,1,12,104,28,26,2,7,11,8,34,44,51,4,172,19,13,0,3,5,4,19,0,3,7,1,0,0,13,60,1,18,32,17,71,13,3,5,30,229,96,2,19,4,55,79,5,11,4,1,7,91,9,21,17,9,28,1,0,0,1,3,3,2,58,2,78,41,2,29,1,29,6,8,4,2,3,5,14,8,0,8,48,2,10,12,58,7,9,35,12,0,19,15,42,11,4,7,4,49,40,15,4,31,27,29,0,5
CAR beta-lactamase,1,0,0,0,0,15,0,0,0,23,2,0,4,0,0,0,0,0,0,0,2,1,0,0,22,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,4,0,1,2,0,9,3,9,2,5,1,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,1,2,0,0,0,0,9,0,0,10,1,23,0,0,0,0,0,0,12,0,7,0,4,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,2,0,0,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,5,0,0,0,1,0,0,0,1,0,0,0,14,0,0,0
POM beta-lactamase,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Erm 23S ribosomal RNA methyltransferase,44,296,74,145,60,42,67,354,389,288,107,49,135,260,175,11,371,22,85,300,253,148,150,276,265,502,1076,533,7,305,134,164,72,0,264,389,225,78,644,222,4,598,602,18,183,0,466,501,8,518,146,324,2,6933,169,580,0,78,187,83,27,189,427,53,169,266,0,333,302,418,255,244,94,202,333,389,36,197,232,1976,10,158,300,198,381,758,75,9,9,526,174,192,511,260,73,2,164,518,303,179,9,390,363,59,0,163,168,132,325,280,556,37,13,383,0,74,123,48,163,4,163,367,180,303,114,277,123,27,2,252,14,69,11,224,94,2,134,2,276,222,351,302,245,487,556,115,25
streptogramin vat acetyltransferase,8,250,55,120,55,36,85,301,506,227,44,38,88,241,135,2,121,19,85,393,247,97,156,375,182,354,583,55,2,479,127,91,37,0,253,182,254,93,721,232,10,570,491,11,186,0,365,476,0,413,60,313,0,8962,146,455,2,57,182,21,11,218,430,62,161,321,0,309,215,410,137,208,86,133,352,569,31,198,141,1885,0,151,227,222,201,633,78,4,3,513,195,272,209,168,69,7,113,479,432,158,1,395,400,25,0,141,144,158,297,376,51,40,7,437,3,63,107,13,123,4,156,600,174,313,72,161,166,22,9,149,21,62,8,169,87,0,98,5,176,159,290,253,103,415,414,110,9
non-erm 23S ribosomal RNA methyltransferase (G748),7,1082,74,540,33,101,243,668,1364,317,35,153,141,730,392,0,255,107,147,1503,402,132,362,1204,222,1066,1070,79,5,1570,412,246,24,0,499,419,744,392,1622,555,16,1672,1176,2,206,0,715,1273,1,884,175,700,10,32364,308,953,4,45,429,1,10,862,1843,270,633,1353,3,705,361,991,301,743,177,183,730,1075,75,439,56,4027,7,392,698,518,520,1653,198,8,16,1280,257,1010,502,378,10,0,287,1255,1695,433,0,1320,1249,38,6,181,250,423,1197,1194,57,40,33,1797,0,58,368,12,309,10,503,34,505,1087,156,615,184,19,12,516,70,57,19,299,179,0,388,17,624,374,522,471,373,1087,1321,278,58
glycopeptide resistance gene cluster;vanW,1,0,0,3,0,4,0,2,0,16,5,2,3,0,6,0,0,0,0,0,0,1,0,0,0,7,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,2,4,0,6,4,7,0,0,3,0,0,0,0,0,1,0,0,0,2,0,0,0,15,1,0,2,0,14,0,0,0,1,2,0,0,0,3,4,11,0,4,1,0,0,6,0,2,2,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,10,0,1,0,1,0,5,0,2,0,0,1,0,14,4,0,0,0,8,3,0,0
Intrinsic peptide antibiotic resistant Lps,4,2,1,0,0,3,0,0,0,14,7,6,29,0,0,0,0,0,0,0,0,2,0,0,4,7,0,0,4,0,0,1,11,0,0,6,0,0,0,1,0,0,56,4,7,0,0,13,0,9,2,9,0,8,4,0,0,0,0,0,1,0,0,1,0,0,0,0,7,0,0,5,0,6,0,0,0,1,29,0,2,1,0,14,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,1,5,0,4,0,0,0,0,0,2,6,0,0,0,0,4,0,0,0,3,0,1,0,5,0,0,0,7,0,0,0,2,2,0,1,0,6,4,2,0,15,15,8,1,0
rifampin monooxygenase,9,383,35,203,53,98,142,335,788,292,25,63,100,360,238,3,120,28,90,579,291,62,201,459,485,758,763,56,0,593,165,152,39,0,230,244,373,137,1169,302,6,780,809,14,166,0,473,753,6,603,48,496,4,10731,159,479,1,23,230,4,4,359,644,87,278,465,0,422,393,546,290,242,154,251,465,695,72,239,249,1895,6,182,505,361,160,766,131,16,9,619,187,402,317,289,12,0,167,790,628,236,14,559,643,25,0,130,125,209,416,455,35,26,11,683,1,29,238,17,190,6,144,58,333,387,77,327,124,4,6,207,25,14,13,203,136,3,166,7,242,151,354,208,213,587,561,189,27
nitroimidazole reductase,3,6,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,9,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
alm glycyltransferase;polymyxin resistance operon,3,150,17,30,3,28,62,20,338,39,4,8,19,134,53,0,55,2,17,28,39,14,16,65,31,34,334,11,0,78,16,23,6,0,85,49,108,27,321,82,1,67,5,0,8,0,59,138,0,122,20,95,0,1343,40,187,0,6,45,0,2,36,79,18,27,58,0,127,49,211,58,103,46,31,142,170,0,95,9,153,0,40,1,129,38,235,12,0,0,242,30,78,23,82,3,0,76,107,55,48,0,75,132,8,6,17,21,81,182,43,5,5,1,52,0,0,30,2,19,0,68,13,117,170,32,57,34,1,3,64,0,15,3,52,64,0,17,0,49,85,50,50,0,10,87,40,8
chloramphenicol acetyltransferase (CAT),13,22,16,5,40,18,2,110,0,140,38,9,93,27,36,9,38,5,6,15,14,5,21,12,109,63,134,207,3,10,1,16,55,0,75,1,40,3,3,19,0,14,118,18,67,0,73,3,0,35,22,76,0,169,37,101,0,10,12,14,20,1,1,6,1,1,0,35,109,4,14,30,14,87,35,130,3,25,162,322,1,39,29,34,40,3,9,0,0,25,48,6,35,12,76,5,0,29,4,11,0,69,5,21,0,34,37,7,52,6,19,19,26,0,0,74,16,4,22,3,4,362,4,45,25,6,49,12,10,16,2,23,0,24,4,0,4,8,55,35,8,10,71,52,1,10,12
BlaZ beta-lactamase,3,0,4,2,0,6,0,4,0,0,0,4,4,8,14,4,0,0,2,0,0,5,2,0,5,0,20,24,0,0,0,0,50,0,0,12,0,1,0,0,6,0,11,0,0,0,0,9,0,0,1,1,2,293,22,42,2,0,0,19,0,0,2,0,5,0,0,0,16,0,0,6,1,7,2,2,0,3,124,164,10,4,0,10,38,0,2,0,0,5,0,4,4,0,203,12,2,0,0,0,3,6,0,9,0,11,6,0,6,0,208,0,0,6,0,0,2,0,0,2,0,4,2,6,0,42,0,0,0,0,0,29,6,6,0,0,0,0,35,5,0,1,975,4,0,0,2
CfxA beta-lactamase,1,0,1,0,0,0,0,0,0,0,3,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,15,0,1,2,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,0,0,0,0,0,2,0,0,0,0,0,0,0
lipid A phosphatase,8,5,0,0,4,4,0,0,0,13,3,5,8,0,0,0,0,0,0,0,0,0,2,0,16,0,2,3,0,2,1,1,1,0,0,1,0,0,0,0,0,0,0,8,0,0,0,0,0,5,15,2,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,1,5,4,0,0,0,13,3,0,0,0,0,1,14,0,0,2,3,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,3,0,0,0,0,0,2,5,0,0,0,0,0,1,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,4,0,1,0,3,0,0,2
BJP beta-lactamase,5,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,12,0,0,0,0,0,0,4,8,0,15,0,1,0,0,0,0,0,0,0,1,0,0,0,0,7,0,5,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,3,2,1,1,0,0,4,14,25,0,1,29,0,8,1,0,0,0,0,0,3,0,0,5,0,0,5,0,0,1,0,0,0,0,0,12,0,0,0,1,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,0,0,0
glycopeptide resistance gene cluster;vanZ,4,1,0,0,4,0,0,3,0,7,1,2,1,0,0,0,1,0,0,0,0,0,0,3,7,1,5,0,0,1,1,0,19,0,0,8,6,2,0,0,0,0,5,0,0,0,2,2,0,5,6,21,0,0,6,0,0,1,0,0,2,0,0,0,0,0,0,4,12,3,0,0,0,20,2,0,0,8,2,0,2,0,0,0,14,0,0,0,0,5,6,0,0,1,0,0,0,0,0,0,0,0,0,28,0,2,2,0,4,0,0,4,0,0,0,0,0,0,3,0,1,0,0,5,2,0,0,0,0,9,1,9,0,4,1,0,3,0,6,5,0,0,0,1,4,0,0
ATP-binding cassette (ABC) antibiotic efflux pump;major facilitator superfamily (MFS) antibiotic efflux pump,8,505,135,247,41,46,179,515,848,527,105,60,139,504,214,9,478,45,129,642,221,109,255,546,297,459,1523,267,22,754,199,111,86,0,413,262,497,143,1061,336,23,830,1239,8,219,0,535,574,1,597,80,496,1,11662,217,839,8,75,248,133,29,403,728,98,233,521,2,496,349,665,200,396,116,282,441,874,66,322,197,3088,12,284,676,407,664,935,168,4,5,730,344,474,247,266,347,4,216,714,724,230,6,687,622,42,0,171,277,276,624,534,315,81,12,611,2,203,290,8,218,15,207,1130,366,563,139,312,265,44,6,194,51,48,27,233,157,0,167,16,344,214,333,294,444,362,508,205,41
AAC(6'),6,13,7,6,9,4,7,14,0,12,14,0,25,0,11,0,18,2,0,14,5,4,15,5,43,4,39,5,0,5,4,22,6,0,28,13,4,0,0,8,1,11,77,9,68,2,58,5,0,12,25,18,1,24,4,19,0,20,5,3,4,0,2,5,4,0,0,8,27,0,1,9,2,11,13,61,1,1,12,161,0,17,25,0,17,7,6,0,0,5,15,1,11,2,61,3,0,10,0,1,0,49,3,1,0,9,21,3,3,4,5,9,0,4,0,14,4,2,35,1,0,76,5,6,10,1,21,2,0,8,1,7,0,12,1,0,5,0,13,9,1,6,0,11,4,1,4
ELM beta-lactamase,1,0,0,0,2,2,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,1,1,3,2,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,10,0,0,0
APH(6),6,0,0,11,0,0,0,2,0,30,0,2,27,0,0,0,0,0,0,0,4,2,0,3,5,24,0,0,0,10,0,0,10,0,0,0,1,9,0,0,0,10,2,0,8,0,0,0,0,11,36,25,4,57,30,0,0,1,0,0,1,0,1,0,0,0,0,8,25,1,5,0,0,29,0,0,0,4,31,0,0,6,17,31,7,0,0,0,0,2,0,0,8,16,0,0,1,2,0,4,0,0,0,18,0,11,1,0,3,0,13,13,7,0,0,0,3,5,0,0,0,65,3,7,0,0,1,0,0,38,4,0,0,1,5,0,6,0,20,18,2,0,10,13,19,0,0
APH(3''),3,0,0,3,0,0,0,6,0,2,0,2,13,0,0,0,0,0,0,0,2,0,0,0,1,6,0,0,0,2,3,0,0,0,0,4,0,1,0,0,0,18,9,0,8,0,1,0,0,11,13,28,0,14,37,0,0,0,0,0,0,0,0,0,0,0,0,3,14,0,0,0,0,9,0,0,0,3,8,0,0,9,6,0,0,0,0,0,0,2,1,0,4,0,0,2,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,8,0,0,0,0,0,1,0,0,0,43,5,0,0,0,1,0,0,40,0,0,0,4,0,0,2,0,2,9,0,0,0,0,0,0,12
vanJ membrane protein,1,0,0,0,0,0,0,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,11,0,1,0,2,5,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
