,SoS091a_CP04272_S249_L001,SoS055a_CP04272_S217_L001,UG006_CP04272_S262_L001,SoS042a_CP04272_S215_L001,SoS036a_CP04272_S211_L001,9B1L_CP04272_S278_L001,SoS024a_CP04272_S197_L001,SoS070a_CP04272_S227_L001,SoS078b_CP04272_S236_L001,SoS017a_CP04272_S191_L001,SoS098b_CP04272_S252_L001,P060_CP04272_S338_L001,P006_CP04272_S287_L001,SoS002a_CP04272_S177_L001,P012_CP04272_S291_L001,P031_CP04272_S310_L001,SoS081a_CP04272_S241_L001,P043_CP04272_S322_L001,SoS008a_CP04272_S185_L001,P026_CP04272_S305_L001,UG004_CP04272_S260_L001,SoS025a_CP04272_S199_L001,SoS098a_CP04272_S251_L001,SoS079b_CP04272_S238_L001,SoS017b_CP04272_S192_L001,SoS008b_CP04272_S186_L001,SoS081b_CP04272_S242_L001,SoS014a_CP04272_S189_L001,P009_CP04272_S288_L001,SoS042b_CP04272_S216_L001,SoS065b_CP04272_S224_L001,UG005_CP04272_S261_L001,SoS035a_CP04272_S209_L001,P004_CP04272_S285_L001,P018_CP04272_S297_L001,UG001_CP04272_S257_L001,SoS006b_CP04272_S184_L001,2B1L_CP04272_S276_L001,SoS078a_CP04272_S235_L001,SoS006a_CP04272_S183_L001,P041_CP04272_S320_L001,SoS065a_CP04272_S223_L001,P024_CP04272_S303_L001,P033_CP04272_S312_L001,SoS036b_CP04272_S212_L001,P055_CP04272_S333_L001,P010_CP04272_S289_L001,P001_CP04272_S282_L001,P019_CP04272_S298_L001,SoS018a_CP04272_S193_L001,SoS091b_CP04272_S250_L001,SoS018b_CP04272_S194_L001,P015_CP04272_S294_L001,P036_CP04272_S315_L001,SoS005b_CP04272_S182_L001,P056_CP04272_S334_L001,P051_CP04272_S330_L001,SoS082b_CP04272_S244_L001,SoS039b_CP04272_S214_L001,P023_CP04272_S302_L001,P034_CP04272_S313_L001,SoS077a_CP04272_S233_L001,SoS011b_CP04272_S188_L001,SoS033a_CP04272_S207_L001,P003_CP04272_S284_L001,SoS077b_CP04272_S234_L001,P057_CP04272_S335_L001,SoS082a_CP04272_S243_L001,SoS075a_CP04272_S231_L001,SoS039a_CP04272_S213_L001,UG009_CP04272_S263_L001,SoS031b_CP04272_S206_L001,SoS014b_CP04272_S190_L001,SoS075b_CP04272_S232_L001,P046_CP04272_S325_L001,P017_CP04272_S296_L001,P021_CP04272_S300_L001,SoS004a_CP04272_S179_L001,16B1NL_CP04272_S343_L001,P044_CP04272_S323_L001,P053_CP04272_S332_L001,SoS005a_CP04272_S181_L001,SoS087b_CP04272_S248_L001,9B1NL_CP04272_S279_L001,SoS035b_CP04272_S210_L001,SoS025b_CP04272_S200_L001,P029_CP04272_S308_L001,P059_CP04272_S337_L001,P025_CP04272_S304_L001,SoS027b_CP04272_S202_L001,SoS085b_CP04272_S246_L001,SoS069a_CP04272_S225_L001,P040_CP04272_S319_L001,UG010_CP04272_S264_L001,P042_CP04272_S321_L001,P013_CP04272_S292_L001,SoS004b_CP04272_S180_L001,P058_CP04272_S336_L001,SoS011a_CP04272_S187_L001,SoS063b_CP04272_S222_L001,P038_CP04272_S317_L001,P050_CP04272_S329_L001,SoS063a_CP04272_S221_L001,P027_CP04272_S306_L001,P011_CP04272_S290_L001,P032_CP04272_S311_L001,SoS087a_CP04272_S247_L001,SoS073a_CP04272_S229_L001,P020_CP04272_S299_L001,SoS069b_CP04272_S226_L001,17B1NL_CP04272_S273_L001,SoS085a_CP04272_S245_L001,P005_CP04272_S286_L001,P048_CP04272_S327_L001,P045_CP04272_S324_L001,SoS080a_CP04272_S239_L001,SoS024b_CP04272_S198_L001,P037_CP04272_S316_L001,SoS070b_CP04272_S228_L001,P049_CP04272_S328_L001,SoS055b_CP04272_S218_L001,SoS060a_CP04272_S219_L001,SoS002b_CP04272_S178_L001,SoS023a_CP04272_S195_L001,SoS100a_CP04272_S255_L001,P022_CP04272_S301_L001,SoS060b_CP04272_S220_L001,P016_CP04272_S295_L001,P035_CP04272_S314_L001,SoS023b_CP04272_S196_L001,P047_CP04272_S326_L001,17B1L_CP04272_S344_L001,P002_CP04272_S283_L001,UG003_CP04272_S259_L001,SoS100b_CP04272_S256_L001,P039_CP04272_S318_L001,SoS079a_CP04272_S237_L001,P030_CP04272_S309_L001,2B1NL_CP04272_S277_L001,P028_CP04272_S307_L001,SoS099a_CP04272_S253_L001,SoS099b_CP04272_S254_L001,P052_CP04272_S331_L001,SoS080b_CP04272_S240_L001,UG002_CP04272_S258_L001,SoS073b_CP04272_S230_L001,P014_CP04272_S293_L001
subclass B3 LRA beta-lactamase,0.000176647,0,5.07E-05,0.000117668,0.000306631,0.001152848,0,3.37E-05,0,0.000293596,5.13E-05,0.000488971,0.00038502,0,0.000147675,0.00177305,0,0,0,8.67E-06,5.26E-05,0.000115656,0,1.95E-05,0.000448682,7.42E-05,4.45E-06,0.000103979,0,0,2.44E-05,7.30E-05,0.000400445,0,0,0,5.94E-05,0.000128506,0,3.18E-05,0,2.22E-05,0.00014498,0.002336449,2.15E-05,0,3.61E-05,2.86E-05,0,0.000154631,0.000205002,0.000326731,0.000625,1.01E-05,0.000323281,8.20E-06,0,0,0,0,0.001531394,0,1.38E-05,0,0,0,0,0,0.000143838,8.24E-06,0.000124738,4.08E-05,0.000176485,0.000428299,0,6.80E-06,0,1.70E-05,0.000330974,5.99E-06,0.00408998,0.00017331,0.000249264,0.000609233,0.00032309,0,0.000130467,0,0,0,0.000171416,0,0,7.23E-05,0.000228232,0.000810373,0,0,7.82E-06,6.45E-05,0.002253944,8.34E-06,4.21E-05,0.000432994,0,0,4.11E-05,0,6.67E-05,0,3.47E-05,6.90E-05,0.00180273,7.54E-06,0,5.10E-05,0.000114841,0.001012317,1.47E-05,0,0,1.82E-05,0,5.82E-05,0.000152549,1.37E-05,0.00012758,0,0.003039514,1.77E-05,0,0.000136221,0.000348189,0.000229397,0.000160292,0,0.000155344,0.001710376,0.000167729,8.78E-05,0,0,0.000315424,0.000328569,1.68E-05,0,0.000113623
glycopeptide resistance gene cluster;vanU,0.000176647,0,0,0.003118197,0,0,0,0,1.78E-05,0,0,5.43E-05,0,2.44E-05,0.00060916,0,3.77E-05,0.000526524,0,0.003364288,0,0,1.81E-05,0.00314824,0,4.12E-05,0,0.000797172,0.000877578,0.003437637,0.002390127,0,0.000756396,0,0,4.58E-05,0.000949882,0.003855174,1.02E-05,0.002114905,0,0.001489667,0.000117099,0,0,0,9.03E-06,0.001344163,0,0.000506847,8.20E-05,3.06E-05,0,0.001925218,0.003209717,0,0.00622084,0,0,0,0,0.003849923,0.003384364,0.002340288,0.0037715,0.004097697,0,1.08E-05,2.62E-05,0,0,0,0,5.84E-05,0,0,0,0.000238274,3.68E-05,0.000267428,0,0.002753707,0,0,0.002177867,7.70E-05,0,0.000655738,0,2.49E-05,0,0.003534193,0.001069121,0,0,0,0,0,0.003579943,0.001160916,0,0.002561044,0.001415261,0.000577326,0,0,0,0.000142595,0,0.003293561,0,0,0,0.003105262,0,0,0,0,0,0.001997337,8.18E-05,0,0,1.94E-05,0,0,0,0,0,5.30E-05,0.002689314,0.000136221,0.001044568,0.000229397,0.000737345,0,0.002796189,0,0.002784301,3.51E-05,0,0,0.001006354,0,0.002085927,0,0.000795364
ANT(4'),0.000353294,0,0,0,0,9.61E-05,0,0,0,0,0.000461846,0,5.13E-05,0.001353048,0,0,0,0,0,0,0,0.000154208,0.000199283,0,0,0,8.90E-06,0.000589214,0,7.19E-06,0,0,0,0,6.75E-05,0.000183058,0,0,0,0,0,0,6.13E-05,0,6.45E-05,0,0,0,0,1.72E-05,0,0,0,0.000970819,0,0,0.00155521,0,0,0,0.001276161,0,0,0,0,0,0,2.16E-05,2.62E-05,0,0,0.000163334,0,0.000116809,2.02E-05,0,0,0.000595684,0.001618093,0.002223242,0,0,0,0.000248667,0.000430787,3.08E-05,0,0,0,0.000174064,0.000114278,0,0.000542308,0,0,0.003241491,4.92E-05,0,0,0,0,0,0,0.000144331,0,0,0.000205381,0,0,0,0.020062478,0.000137998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000141543,0.003064978,0,0,0,0,0,0,0,0.000281002,0.000101133,0,0,4.56E-05,8.41E-05,0,0
OXA beta-lactamase,0.000176647,0,0,0,0.000306631,0.000288212,0,0,1.78E-05,0.000159031,0,0,0.002181781,0,0,0.005319149,5.65E-05,0.000263262,0,0,1.75E-05,0.000269864,0,6.82E-05,3.20E-05,1.65E-05,0,0.000103979,0,0,0,2.43E-05,0.004894327,0,6.75E-05,4.58E-05,2.37E-05,0,0,0,0,1.11E-05,1.12E-05,0.002336449,0.000172076,0,8.13E-05,0,0,8.59E-05,4.10E-05,0.000122524,0,1.39E-05,2.31E-05,1.64E-05,0,0,0,0.000217061,0.003573252,0,0,0,1.90E-05,0,0,1.08E-05,2.62E-05,1.65E-05,0.000124738,0.00034028,0.000564752,0.000136277,0,6.80E-05,0,1.70E-05,0.001231957,1.80E-05,0,1.93E-05,0,0.000236233,0.000335056,0,0.000130467,0,0,0,1.43E-05,0,0.00017044,5.42E-05,3.80E-05,0,0.000245845,0,0,2.15E-05,0,2.50E-05,0,0.00050516,0,0.000470013,0,0,0,0,0.000138841,6.90E-05,0.004120525,1.51E-05,0.012903226,5.10E-05,0,0.000168719,7.35E-05,0,0,0,0,9.71E-06,0,0.000356917,0,0,0,8.84E-05,0,0,0,9.56E-05,3.21E-05,0.013274336,0,0.001140251,0.000201275,0.000210752,0,0,0.001066434,0.000100396,0,0,0
CARB beta-lactamase,0.000176647,3.20E-05,0,0,0,0,0,0,0,6.12E-05,0.00041053,0.00010866,0.000102672,1.22E-05,0,0,0,0,0,0,0,0,0,0,0.000240365,4.12E-05,8.90E-06,3.47E-05,0,0,0,0,0,0,0,0,0,3.21E-05,0,0,0,0,2.23E-05,0,2.15E-05,0,0,0,0,8.59E-06,0,1.02E-05,0,1.52E-05,0.000138549,0.000139385,0,0,0,0.001085305,0.000510465,0,1.38E-05,0,0,0,0,0,1.31E-05,0,0,0,0,5.84E-05,0,0,0,0,0.000551623,1.20E-05,0.002726653,1.93E-05,0,9.95E-05,0.000167528,0,0,0,0,1.24E-05,0.000114278,0,0,0,0.000494503,0,0,0,0,0,0,1.67E-05,0,0,0,0,0,0,0,0,0.000624783,0,0,0,0,0,1.91E-05,0,0,0,0,0,0,0,0,0.000137276,0,0,0,3.53E-05,0.000141543,0,0,0,0,0,0,0,3.35E-05,3.51E-05,0,0,0.002162909,0.000100396,0,0,0
FAR beta-lactamase,0.000176647,0,0,0,0,0.000144106,0,0,0,1.22E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.01E-05,0,0,0,0,0,0,0,0,0,6.75E-05,0,0,0,0,0,0,0,1.12E-05,0.00046729,0,0,0,0,0,1.72E-05,0,2.04E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.16E-05,0,0,0,0,0,0,0,0,0,0,0,3.99E-06,0.002726653,1.93E-05,2.77E-05,0,3.59E-05,0,0,0,0,0,5.71E-05,0,0.000185934,0,0,0,0,0,0,2.15E-05,0,0,1.68E-05,0,0,0,0,0,0,1.01E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,9.71E-06,0,4.12E-05,0,0,0,0,0.000141543,0,0,1.91E-05,0,0,0,0,0,8.78E-05,0,2.90E-05,0.000165222,5.48E-05,0,0,0
AER beta-lactamase,0.000176647,0,0,0,0,4.80E-05,0,0,0,0,0.00041053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.93E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00046729,0,0,0,0,0,0,0,5.11E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.31E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000198933,1.20E-05,0,0,0,0,0,1.43E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.91E-05,0,0,0,0,0,1.63E-05,0,0,0,0,0,0,0,0,0.000204332,0,0,3.21E-05,0,0,0,0,0,0,0,0,4.56E-05,0,0,0
LMB beta-lactamase,0.000176647,0,0,0,0,0,0,0,0,0,0,0.00021732,5.13E-05,0,0,0,1.88E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.56E-06,0,0.001401869,0,0,9.03E-06,3.57E-05,0,0,0,2.04E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.23E-05,0,0,2.72E-05,0,3.89E-05,0,0,0,0,7.35E-05,0,0,0,0,0,7.18E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,1.56E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.09E-06,0,0,0,0,0,0,0,0,0,0,0.000174095,0,0,0,0,0,0,0,0,0,0,2.74E-05,0,0,0
macrolide phosphotransferase (MPH),0.000176647,1.07E-05,0.000101353,0.000980565,0,0,0,1.69E-05,0,0.000122332,0.00082106,0.00016299,0.006545343,7.31E-05,0,0.003546099,0.000169482,0,4.11E-05,0,0.00019281,0.000655384,0.000144933,9.75E-06,0.001922923,0.000123701,8.90E-06,6.93E-05,0.002632734,1.44E-05,0,2.43E-05,0.004182425,0,0,0.000549174,2.37E-05,0,1.02E-05,0,0,0,7.25E-05,0.000934579,8.60E-05,0,0,0,0,4.30E-05,0,0.000234838,0,0.000183134,0.001177666,0,0,0,5.70E-05,0,0.002041858,0,0,9.96E-05,0,0,0,0.004671432,0.000183066,0,0,0.000530836,0,0.000175213,1.01E-05,1.36E-05,0,0.000221254,0.00057001,1.20E-05,0,0.000404391,1.85E-05,0.000136767,0.002488991,5.13E-06,0,0,0,0.002592316,0.000271409,0,7.75E-05,0,0,0,0.000122923,5.00E-05,1.56E-05,4.30E-05,0,0,1.68E-05,0.000144331,0,0.001692047,0,0,1.91E-05,0,0.013884068,0.000137998,0.009786248,0,0,0.000918039,0,0.000168719,0,0,2.04E-05,0,0,0.000281463,0,8.24E-05,0,0,0,3.53E-05,0,0.000408664,0.000696379,0.000210281,0,0,5.18E-05,0,0.000402549,0.000316128,0.000101133,0.000448983,0,0.000164285,0.000344851,2.76E-05,0
AAC(3),0,7.48E-05,0,1.96E-05,0.000306631,0.000336247,0,1.69E-05,0,0.000183497,0.005131626,0.000651961,0.000102672,7.31E-05,0,0,1.88E-05,0,0.000288018,0,1.75E-05,0,0,0,0.000144219,0.000164935,4.45E-05,0.000277277,0,0,0,0,0,0.007751938,0,3.05E-05,0,0,0,6.36E-05,0,5.56E-06,1.12E-05,0.001168224,0.000172076,0,9.03E-06,7.15E-06,0,0.000128859,4.10E-05,0.000153155,0,0,2.31E-05,0,0,0,0,0,0.001531394,0,6.92E-06,0,0,0,0,0,0.000183066,0,2.08E-05,0,0.000105891,0,0,0,0,0,0.000717109,2.00E-06,0,0.000211824,1.85E-05,0.0001119,9.57E-05,0,0,0,0.001336005,0,8.57E-05,7.73E-05,3.10E-05,3.61E-05,0,0,0,0,0,4.30E-05,0,0,5.05E-05,7.22E-05,0,0,0,2.04E-05,0,0,6.94E-05,0.000413993,0,0,0,0.000102004,0,0.000337439,0.000102938,0,2.04E-05,1.82E-05,0,5.82E-05,0.000305099,0,2.55E-05,0,0,8.84E-05,0,0.000204332,0,1.91E-05,6.41E-05,0,2.59E-05,0.002280502,8.39E-05,1.76E-05,1.26E-05,0,0.000285384,0.000556742,6.73E-05,5.52E-05,0
streptothricin acetyltransferase (SAT),0,5.34E-05,0,3.92E-05,0,0.000144106,6.50E-05,0,0,4.89E-05,0,0,0,0,0,0,0,0,0,0,0,0.00038552,0,0,0,3.30E-05,0,0,0,0,0,0,0.000489433,0,0,0,0,0,0,0,0,5.56E-06,0,0.000233645,0,0,0,0,0,2.58E-05,0.000164002,0,0,5.89E-06,0,0,0,0,0,0.001302366,0,0,0,0,0,0,0,0,0,8.24E-06,0,0,0,5.84E-05,0,0,0,0,0,0,0,0,0,0,0.00045472,5.13E-06,0,0,0,0,7.14E-05,0,0,0,0,0,0,0,0,2.15E-05,0,8.34E-06,0,7.22E-05,0,0,0,0,0,0,0,0,0,0,0,0,7.66E-05,0,0,0,0,0,0,1.94E-05,0,8.24E-05,0,0,0,3.53E-05,0,0,0,0,0,0,7.77E-05,0,3.35E-05,3.51E-05,2.53E-05,4.34E-05,4.51E-05,0,0,0,0
fosfomycin thiol transferase,0,3.20E-05,0.000202706,5.88E-05,0.002069759,0.000288212,0,5.06E-05,0,0.001614778,0.000769744,0.000543301,0.00025668,0.000182844,0.000276891,0,0.001600663,0,0.000329164,7.80E-05,7.01E-05,0.000346968,5.43E-05,7.80E-05,0.000592901,9.90E-05,0.001704396,0.003569943,0.000877578,7.19E-06,0.000146334,0,0.001646274,0,0.000634364,4.58E-05,0.000308712,0,0,0.000111311,0.001104972,4.45E-05,0.000546463,0,0.001785292,0,0.000252785,2.86E-05,0,4.30E-05,0.000123001,9.19E-05,0,4.88E-05,0.00124694,0.001533239,0,0.000465611,0.000114034,0.004124159,0.000510465,0.000139997,0,0.000248967,9.52E-05,0,0,0.000324405,0.000248447,6.60E-05,6.24E-05,5.44E-05,0.000105891,0.000584044,0.000141217,0.00045582,0,0.000102117,0.000478073,0.000443052,0.001363327,0.000885808,0.000156944,0.000136767,0.000694046,2.05E-05,0,0,0,0.000149198,8.57E-05,4.42E-05,0.000216923,3.61E-05,0.002814866,0.000810373,0.000122923,5.00E-05,0,0.000150489,0,0.000742452,0,0.000144331,0,6.27E-05,8.22E-05,0,0.001230071,0,0.001006595,6.90E-05,0.000515066,0,0,0.001071046,7.66E-05,0,1.47E-05,0,0,0.001027712,0,0.000252346,0,0.000247097,0.000535837,0.00081367,0,7.07E-05,0,0.000204332,0,7.65E-05,0.000288526,0,0.000129453,0,0.000201275,0.000403941,3.79E-05,2.90E-05,0.002853838,2.74E-05,8.41E-05,2.76E-05,0.000568117
NDM beta-lactamase,0,1.07E-05,0,0,0,0,0,0,0,4.89E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.77E-05,0,0,0.000438789,0,0,0,0,0,0,0,0,0,0,0,0,0,1.12E-05,0.00046729,0,0,1.81E-05,0,0,8.59E-06,0,0.000163365,0,2.95E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000353057,0,0,0,0,0.000486703,0,0,0,0,0.000294199,0,0,0,0,0,3.59E-05,0,0,0,0,0,1.43E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.86E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000272442,0,5.73E-05,0,0,0,0,0.000234821,0,1.26E-05,0,0,0,0,0,0
rifampin ADP-ribosyltransferase (Arr),0,7.48E-05,0,0,0,0.000336247,0,4.22E-05,0,0.000110098,0.000205265,0.00010866,0,0,0,0,0,0,0,0,0,0.000115656,0,0,0.000304463,4.12E-05,0,0,0,0,0,0.000146017,0,0,0,0,0,0,0,1.59E-05,0.001473297,3.34E-05,0.000100371,0.00046729,0.000279624,0,0,1.43E-05,0,9.45E-05,0,0.000275679,0,2.10E-06,0,0,0,0,0,0,0,0,6.92E-06,0,0,0,0,5.41E-05,3.92E-05,0,4.16E-05,0,0,9.73E-05,0,0,0.000148699,0,0.000772272,9.98E-06,0,7.70E-05,0,6.22E-05,4.79E-05,0,0,0,0,0,1.43E-05,0,0.000108462,0,0,0,0,0,0,2.15E-05,0,1.67E-05,5.05E-05,0,0,0.000438679,0.000123229,2.04E-05,0,0,0,0,0,0,0,0,0,0.001349755,0,0,0,0,0,0,3.81E-05,0,0,0,0,8.84E-05,0,0,0,5.73E-05,0,0,0.000103563,0,6.71E-05,0,0,0,0,0.000273808,0,0.000110488,0.000227247
rifampin glycosyltransferase,0,2.14E-05,0,0,0,0,0,1.69E-05,0,2.45E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,1.95E-05,1.60E-05,4.12E-05,4.45E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.30E-05,4.10E-05,2.04E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.62E-05,0,0,0,0.000105891,3.89E-05,0,0,0,0,0.000367748,0,0,0,0,0,0,0,0,0,0,0,2.86E-05,0,0,0,0,0,0,0,0,2.15E-05,0,0,0,7.22E-05,0,0,0,0,0,0,0,0,0.001030131,0,0,0,0,0,0,0,2.04E-05,0,0,9.71E-06,0.000152549,0,0,0,0,1.77E-05,0,0,0,3.82E-05,0,0,0,0,0,0,0,0,0,9.13E-06,0,0,0
APH(3'),0,0.000245656,0.000456089,0.000333392,0.000613262,0.000864636,0.000292417,0.000649154,5.33E-05,0.001211083,0.000359214,0.000434641,0.011524936,9.75E-05,0.001347535,0.00177305,0.000188313,0.000263262,0.000781764,0,0.000122697,0.000501176,0.000561615,2.92E-05,0.000272414,9.07E-05,0.000137954,0.000207958,0,0.000100684,0.000170723,0.000949113,0.000756396,0,0.000188959,0.001067838,1.19E-05,9.64E-05,5.10E-06,0,0,0.000239014,0.000211894,0.001168224,0.000688305,0,9.93E-05,7.86E-05,0,0.000214766,0.001353014,0.0002961,0,1.05E-05,0.000831294,9.84E-05,0.00311042,0.001263802,0,0.001302366,0.00229709,0,6.92E-06,4.98E-05,1.90E-05,9.53E-06,0,8.65E-05,0.000562275,1.65E-05,4.16E-05,0.000272224,0.000282376,0.000720321,0.000201739,0,0,0.000153176,0.000367748,0.000303351,0,0.000693241,0.000249264,9.95E-05,0.001088934,4.62E-05,0.000130467,0,0,3.73E-05,0.001414185,4.42E-05,0.001162088,0.000126514,0.001065084,0.000810373,4.92E-05,7.86E-05,2.34E-05,0,0.00150263,0,7.58E-05,0.000432994,0.00456621,9.40E-05,0.000143767,8.15E-05,3.81E-05,1.01E-05,0.000381812,0.001586973,0.013906773,8.29E-05,0,0.000408018,0.000306244,0.000674878,0.001911708,0,2.04E-05,0.000272844,0.000195717,0.000116468,0.001258533,2.75E-05,7.65E-05,0.000488202,0,0.001696533,0,0.000408664,0.000348189,0.000248514,9.62E-05,0,0.000621375,0.002850627,0.000218048,0.00086057,0.000113774,2.90E-05,0,0.000136904,0.000218686,0,0
glycopeptide resistance gene cluster;vanY,0,5.34E-05,0,1.96E-05,0.000383289,0,0,5.90E-05,0,0.000122332,0.000667111,0.000325981,0.000308016,0.000195034,0,0,0.000357795,0,0,0,0,0.000154208,0,2.92E-05,0,7.42E-05,0,0,0.000877578,0,0,4.87E-05,0,0,0,4.58E-05,0,0,0,1.59E-05,0,5.56E-06,0.000150556,0.00046729,0.000172076,0,1.81E-05,0,0,0.00013745,0.000164002,0.000142945,0,1.18E-05,0.00016164,0,0,0,1.90E-05,0.000434122,0.001020929,0,0,0,1.90E-05,9.53E-06,0,2.16E-05,0,0,0,0,0,0.000175213,0,0,0,8.51E-05,0.000606785,7.98E-06,0,3.85E-05,9.23E-06,0.000348133,0.000466686,0,0,0.000655738,0,6.22E-06,0.00048568,0,0,0,0,0,2.46E-05,0,0,0.000128991,0,0,0,0.000865988,0,0.000313342,4.11E-05,0,0,0,0.001180146,0.000137998,0,0,0,0,0,0.001349755,1.47E-05,0,0,0.000172801,0,2.91E-05,0,0,0,0,0,5.30E-05,0.000283086,0.000476774,0.000174095,1.91E-05,3.21E-05,0,0.000181234,0,0.000100637,0.000122939,0,0,0.002598495,0.000100396,4.21E-05,0,0
BKC Beta-lactamase,0,1.07E-05,0,0,0,0,0,0,0,0,0,0,5.13E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.23E-05,0,4.30E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.62E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.10E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.06E-05,0,0,0,0,0,0
ANT(6),0,5.34E-05,0,9.81E-05,0.000306631,0,0,0,0,7.34E-05,0.000205265,0.000271651,0.000102672,0,0,0,0,0,0,0,0.000175282,0.00038552,3.62E-05,0,0,0,7.12E-05,0,0,1.44E-05,2.44E-05,0,0,0,0,3.05E-05,0,0,0,0,0,2.22E-05,0,0,0.000258114,0,0,0,0,0.00013745,0.000451005,0.0002961,0.000625,1.26E-06,0,0,0,0,0,0.000651183,0.001020929,0,0,0,1.90E-05,0,0,0,0,0,0,0,0,3.89E-05,0,0,0,1.70E-05,7.35E-05,0,0,0,0,0,5.98E-05,0,0,0,0,0,0.000414256,0,0,5.42E-05,0,0,0,0,0,0,0,0,0,0.000288663,0,6.27E-05,0,0,0,0,0.000208261,0.000206996,0.000515066,0,0,0.000153007,0,0,1.47E-05,0,0.000102245,0,0,1.94E-05,0,2.75E-05,0,0,0,3.53E-05,0,0.001021659,0,0.000133815,0,0,0.000155344,0,0,0,5.06E-05,0,0,0,0,0,0.000113623
AIM beta-lactamase,0,3.20E-05,0,7.84E-05,0,0,0,0,0,2.45E-05,0.000153949,5.43E-05,5.13E-05,0,0,0,0,0,8.23E-05,0,3.51E-05,0,0,0,8.01E-05,1.65E-05,0,0,0,2.16E-05,0,0,0,0,1.35E-05,0,0,0,0,0,0,5.56E-06,0,0,4.30E-05,0,0,0,0,1.72E-05,0.000164002,7.15E-05,0,2.95E-06,6.93E-05,0,0,0,0,0,0,0,6.92E-06,0,3.81E-05,0,0,0,3.92E-05,0,2.08E-05,0,0,3.89E-05,0,6.80E-06,0,5.11E-05,0.000441298,0,0,9.63E-05,0,0,1.20E-05,0,0,0,0,0,2.86E-05,0,0,1.81E-05,0,0,0,0,0,6.45E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.91E-05,0,0,0,2.04E-05,0,3.26E-05,0,0,8.24E-05,2.55E-05,0,0,1.77E-05,0,0,0,3.82E-05,0,0,0,0,0,0,0,7.24E-05,0,9.13E-06,8.41E-06,0,0
FIM beta-lactamase,0,1.07E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.01E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
subclass B1 Bacillus cereus Bc beta-lactamase,0,2.14E-05,0,0,0,0,0,1.69E-05,0,9.79E-05,0,0.00010866,0,0,0,0,0,0,0,0,0,0,0,0,6.41E-05,4.12E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.72E-05,4.10E-05,0,0,8.42E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.03E-05,0,0,0,0,0,0,0,0,9.95E-05,3.59E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.91E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.18E-05,0,0,0.000105376,1.26E-05,0,0,8.21E-05,1.68E-05,2.76E-05,0
